CameraID,Brand,Category,SubCategory,CameraType,SensorType,Resolution,VideoSystem,LensSize_mm,FieldOfView_deg,Interface,MountType,Weight_g,SupportedDroneType,IntendedUse
CAM-0315,Sentera,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,4K,Walksnail Avatar,2.5mm,90,USB,Nano,450,FPV,Cinematic FPV
CAM-0316,HDZero,Cameras,UAV Camera,Thermal Camera,Thermal Sensor,4K,DJI Digital,6mm,110,CVBS,Nano,15,FPV,Racing FPV
CAM-0317,Caddx,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,24MP,Standalone Payload,4mm,155,HDMI,Micro,50,Agricultural,Agriculture Survey
CAM-0318,NextVision,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,12MP,Walksnail Avatar,2.1mm,120,CVBS,Payload Mount,35,FPV,Racing FPV
CAM-0319,SIYI,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,720p,Analog,4mm,120,HDMI,Mini,450,Industrial,Mapping / Survey
CAM-0320,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,4K,DJI Digital,1.8mm,155,HDMI,Nano,35,FPV,Cinematic FPV
CAM-0321,NextVision,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,1080p,DJI Digital,6mm,155,HDMI,Micro,10,FPV,Freestyle FPV
CAM-0322,HDZero,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,2K,Walksnail Avatar,3.6mm,140,MIPI,Mini,8,Industrial,Mapping / Survey
CAM-0323,Sentera,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,12MP,Standalone Payload,2.1mm,90,Ethernet,Gimbal Mount,450,Industrial,Mapping / Survey
CAM-0324,HDZero,Cameras,UAV Camera,Inspection Camera,CMOS,48MP,Analog,2.1mm,165,Ethernet,Mini,15,FPV,Cinematic FPV
CAM-0325,Caddx,Cameras,UAV Camera,FPV Camera,CMOS,12MP,Standalone Payload,6mm,165,Ethernet,Micro,250,FPV,Cinematic FPV
CAM-0326,Walksnail,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,48MP,Standalone Payload,2.8mm,140,CVBS,Payload Mount,120,Industrial,Mapping / Survey
CAM-0327,Caddx,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,48MP,Walksnail Avatar,2.8mm,155,Ethernet,Nano,20,Agricultural,Crop Health Monitoring
CAM-0328,Hawkeye,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,2K,DJI Digital,6mm,155,HDMI,Payload Mount,450,Agricultural,Agriculture Survey
CAM-0329,Gremsy,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,1080p,Analog,4mm,120,HDMI,Nano,35,FPV,Cinematic FPV
CAM-0330,MicaSense,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,2K,DJI Digital,2.1mm,140,CVBS,Payload Mount,120,Agricultural,Agriculture Survey
CAM-0331,Foxeer,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,2K,Analog,1.8mm,165,Ethernet,Nano,450,FPV,Racing FPV
CAM-0332,Hawkeye,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,4K,Analog,6mm,120,MIPI,Payload Mount,35,FPV,Cinematic FPV
CAM-0333,Hawkeye,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,12MP,Standalone Payload,4mm,165,MIPI,Micro,20,Industrial,Mapping / Survey
CAM-0334,Walksnail,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,12MP,DJI Digital,2.5mm,155,CVBS,Gimbal Mount,50,Agricultural,Agriculture Survey
CAM-0335,Workswell,Cameras,UAV Camera,Thermal Camera,Thermal Sensor,24MP,Walksnail Avatar,4mm,110,CVBS,Mini,50,Industrial,Mapping / Survey
CAM-0336,Hawkeye,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,720p,Standalone Payload,6mm,110,USB,Payload Mount,20,FPV,Racing FPV
CAM-0337,Caddx,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,2K,Analog,12mm,140,HDMI,Payload Mount,10,Agricultural,Crop Health Monitoring
CAM-0338,DJI,Cameras,UAV Camera,Mapping Camera,CMOS,20MP,Walksnail Avatar,6mm,165,MIPI,Nano,120,FPV,Cinematic FPV
CAM-0339,Hawkeye,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,20MP,HDZero,1.8mm,165,CVBS,Gimbal Mount,5,FPV,Cinematic FPV
CAM-0340,SIYI,Cameras,UAV Camera,FPV Camera,CMOS,720p,Standalone Payload,4mm,120,CVBS,Nano,250,Industrial,Mapping / Survey
CAM-0341,Sentera,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,48MP,DJI Digital,2.8mm,165,USB,Gimbal Mount,120,Industrial,Mapping / Survey
CAM-0342,Hawkeye,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,48MP,Analog,4mm,90,HDMI,Mini,50,Agricultural,Crop Health Monitoring
CAM-0343,Caddx,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,1080p,Analog,2.5mm,110,MIPI,Mini,8,FPV,Cinematic FPV
CAM-0344,Workswell,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,720p,Standalone Payload,2.5mm,155,Ethernet,Micro,250,Agricultural,Agriculture Survey
CAM-0345,Viewpro,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,1080p,Standalone Payload,6mm,120,MIPI,Nano,15,Agricultural,Agriculture Survey
CAM-0346,Gremsy,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,20MP,DJI Digital,2.1mm,140,HDMI,Payload Mount,120,Industrial,Infrastructure Inspection
CAM-0347,SIYI,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,720p,Analog,4mm,165,HDMI,Nano,450,Agricultural,Agriculture Survey
CAM-0348,Gremsy,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,4K,DJI Digital,3.6mm,140,USB,Mini,450,Industrial,Infrastructure Inspection
CAM-0349,Caddx,Cameras,UAV Camera,FPV Camera,Global Shutter CMOS,1080p,Analog,4mm,140,MIPI,Payload Mount,50,Agricultural,Agriculture Survey
CAM-0350,Foxeer,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,2K,HDZero,4mm,120,Ethernet,Nano,20,Agricultural,Agriculture Survey
CAM-0351,Caddx,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,1080p,DJI Digital,2.5mm,165,USB,Gimbal Mount,5,Agricultural,Crop Health Monitoring
CAM-0352,MicaSense,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,2K,HDZero,4mm,165,USB,Payload Mount,10,Industrial,Mapping / Survey
CAM-0353,DJI,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,4K,Standalone Payload,2.1mm,120,CVBS,Micro,10,Agricultural,Crop Health Monitoring
CAM-0354,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,720p,Walksnail Avatar,1.8mm,90,MIPI,Mini,50,Industrial,Mapping / Survey
CAM-0355,HDZero,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,20MP,Analog,2.1mm,120,Ethernet,Gimbal Mount,450,FPV,Racing FPV
CAM-0356,DJI,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,12MP,DJI Digital,2.8mm,90,USB,Payload Mount,15,FPV,Cinematic FPV
CAM-0357,MicaSense,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,48MP,HDZero,2.5mm,155,Ethernet,Mini,120,FPV,Freestyle FPV
CAM-0358,Sentera,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,24MP,Standalone Payload,2.8mm,110,MIPI,Micro,35,FPV,Cinematic FPV
CAM-0359,Hawkeye,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,48MP,Walksnail Avatar,4mm,110,CVBS,Payload Mount,120,FPV,Freestyle FPV
CAM-0360,NextVision,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,20MP,Walksnail Avatar,2.8mm,110,HDMI,Nano,5,FPV,Freestyle FPV
CAM-0361,Walksnail,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,20MP,Walksnail Avatar,4mm,120,MIPI,Nano,50,Agricultural,Agriculture Survey
CAM-0362,Gremsy,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,2K,HDZero,2.5mm,110,MIPI,Nano,10,Agricultural,Agriculture Survey
CAM-0363,Sentera,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,24MP,HDZero,6mm,120,MIPI,Payload Mount,20,FPV,Racing FPV
CAM-0364,HDZero,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,24MP,Walksnail Avatar,3.6mm,140,HDMI,Micro,20,Agricultural,Crop Health Monitoring
CAM-0365,SIYI,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,48MP,HDZero,12mm,120,CVBS,Micro,120,Agricultural,Crop Health Monitoring
CAM-0366,DJI,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,20MP,Walksnail Avatar,4mm,165,HDMI,Nano,450,Industrial,Mapping / Survey
CAM-0367,Workswell,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,1080p,Walksnail Avatar,4mm,120,USB,Micro,50,Agricultural,Crop Health Monitoring
CAM-0368,MicaSense,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,4K,DJI Digital,12mm,110,MIPI,Micro,5,FPV,Cinematic FPV
CAM-0369,Foxeer,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,48MP,Standalone Payload,4mm,90,USB,Mini,450,FPV,Freestyle FPV
CAM-0370,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,2K,Standalone Payload,3.6mm,140,CVBS,Micro,5,Industrial,Mapping / Survey
CAM-0371,SIYI,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,4K,DJI Digital,2.8mm,140,CVBS,Nano,10,Agricultural,Agriculture Survey
CAM-0372,MicaSense,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,4K,Analog,6mm,140,CVBS,Nano,120,Agricultural,Crop Health Monitoring
CAM-0373,DJI,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,20MP,HDZero,3.6mm,110,MIPI,Gimbal Mount,8,Industrial,Infrastructure Inspection
CAM-0374,Caddx,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,24MP,Walksnail Avatar,1.8mm,140,HDMI,Mini,120,Industrial,Mapping / Survey
CAM-0375,NextVision,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,2K,Standalone Payload,2.8mm,165,HDMI,Payload Mount,10,Agricultural,Agriculture Survey
CAM-0376,MicaSense,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,4K,DJI Digital,2.1mm,90,USB,Micro,15,FPV,Racing FPV
CAM-0377,SIYI,Cameras,UAV Camera,Digital FPV Camera,Multispectral Sensor,12MP,Standalone Payload,3.6mm,140,HDMI,Gimbal Mount,450,Agricultural,Agriculture Survey
CAM-0378,NextVision,Cameras,UAV Camera,Thermal Camera,CMOS,20MP,DJI Digital,2.5mm,155,Ethernet,Gimbal Mount,250,FPV,Freestyle FPV
CAM-0379,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,48MP,Standalone Payload,6mm,140,USB,Payload Mount,120,Agricultural,Crop Health Monitoring
CAM-0380,HDZero,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,48MP,HDZero,4mm,155,USB,Micro,250,FPV,Freestyle FPV
